Métrica,Entrenamiento,Validación
RMSE,0.016990757318474225,0.049233736038222224
RRMSE,0.04477398151869202,0.1335988245049082
MAE,0.011409153148245357,0.029450023280456664
R2,0.9853977464897937,0.8647956680209382
