Métrica,Entrenamiento,Pruebas
RMSE,0.10590946663220188,0.12575755187454027
RRMSE,0.28019375256925605,0.33616198433545774
MAE,0.08088687576342088,0.09749910167799546
R2,0.4210856629197671,0.12866257939256875
