Métrica,Entrenamiento,Pruebas
RMSE,0.11690567888097675,0.1258551823352572
RRMSE,0.31061407194804563,0.3316006020183104
MAE,0.08973669344492448,0.09685962455501923
R2,0.28549260795932463,0.14817273285709887
