TSSM_MIN,TSSM_MAX,PTPM,TV,BSHG
0.522,0.497,0.089,0.318,0.45
0.249,0.264,0.098,0.13,0.383
0.522,0.543,0.055,0.285,0.599
0.811,0.783,0.157,0.617,0.526
0.506,0.471,0.101,0.254,0.455
0.738,0.735,0.172,0.545,0.339
0.823,0.759,0.218,0.642,0.288
0.896,0.89,0.072,0.66,0.703
0.739,0.785,0.08,0.489,0.419
0.831,0.744,0.177,0.653,0.208
0.573,0.485,0.106,0.315,0.369
0.805,0.787,0.132,0.475,0.44
0.633,0.567,0.055,0.402,0.393
0.263,0.444,0.037,0.145,0.533
0.691,0.671,0.115,0.45,0.625
0.85,0.851,0.051,0.531,0.756
0.329,0.32,0.057,0.136,0.27
0.254,0.285,0.06,0.006,0.17
0.878,0.906,0.049,0.547,0.922
0.308,0.483,0.065,0.201,0.608
0.365,0.351,0.145,0.234,0.309
0.594,0.603,0.072,0.355,0.458
0.589,0.649,0.219,0.436,0.548
0.88,0.921,0.041,0.642,0.521
0.591,0.719,0.152,0.41,0.605
0.596,0.478,0.155,0.289,0.372
0.852,0.711,0.363,0.694,0.312
0.414,0.49,0.068,0.196,0.348
0.885,0.808,0.063,0.687,0.654
0.439,0.467,0.058,0.263,0.152
0.838,0.813,0.128,0.535,0.453
0.812,0.764,0.139,0.623,0.488
0.734,0.695,0.094,0.496,0.464
0.767,0.725,0.359,0.566,0.285
0.289,0.275,0.084,0.137,0.208
0.565,0.562,0.066,0.325,0.538
0.69,0.691,0.156,0.506,0.658
0.698,0.601,0.258,0.484,0.482
0.749,0.743,0.161,0.482,0.566
0.249,0.288,0.051,0.113,0.303
0.499,0.498,0.07,0.249,0.435
0.442,0.545,0.064,0.252,0.548
0.255,0.243,0.048,0.051,0.157
0.89,0.832,0.125,0.696,0.681
0.902,0.799,0.09,0.689,0.7
0.561,0.537,0.089,0.372,0.488
0.74,0.754,0.235,0.532,0.476
0.881,0.847,0.098,0.59,0.541
0.369,0.387,0.027,0.176,0.61
0.64,0.641,0.251,0.477,0.491
0.651,0.551,0.287,0.461,0.283
0.673,0.674,0.071,0.434,0.604
0.509,0.528,0.091,0.343,0.438
0.801,0.768,0.13,0.575,0.547
0.7,0.653,0.072,0.373,0.473
0.385,0.543,0.065,0.222,0.575
0.657,0.68,0.045,0.349,0.358
0.304,0.295,0.083,0.143,0.286
0.861,0.779,0.101,0.588,0.595
0.571,0.616,0.051,0.345,0.651
0.754,0.735,0.193,0.543,0.545
0.69,0.679,0.133,0.462,0.593
0.874,0.873,0.058,0.584,0.666
0.842,0.826,0.124,0.577,0.581
0.477,0.49,0.082,0.252,0.505
0.86,0.847,0.061,0.63,0.511
0.822,0.739,0.162,0.608,0.447
0.52,0.537,0.034,0.293,0.584
0.58,0.635,0.03,0.352,0.598
0.965,0.94,0.087,0.525,0.572
0.643,0.761,0.091,0.431,0.541
0.381,0.531,0.096,0.183,0.559
0.58,0.573,0.07,0.39,0.294
