Rendimiento
0.352
0.164
0.301
0.383
0.29
0.656
0.429
0.082
0.361
0.407
0.607
0.383
0.355
0.374
0.246
0.601
0.355
0.538
0.383
0.366
0.656
0.383
0.464
0.246
0.656
0.383
0.639
0.374
0.519
0.464
0.246
0.164
0.246
0.246
0.5
0.489
0.366
0.41
0.383
0.284
0.301
0.273
0.413
0.281
0.383
0.301
0.383
0.342
0.355
0.383
0.383
0.473
0.191
0.683
0.464
0.246
0.383
0.191
0.301
0.24
0.287
0.473
0.369
0.26
0.292
0.383
0.383
0.355
0.246
0.383
0.464
0.333
0.301
0.243
0.41
0.123
0.519
0.519
0.413
0.519
0.246
0.377
0.301
0.519
0.227
0.601
0.418
0.41
0.246
0.301
0.273
0.467
0.383
0.339
0.656
0.536
0.41
0.574
0.383
0.519
0.555
0.109
0.366
0.383
0.186
0.41
0.246
0.383
0.191
0.628
0.137
0.418
0.29
0.656
0.246
0.383
0.383
0.519
0.519
0.574
0.656
0.309
0.273
0.344
0.363
0.656
0.284
0.631
0.519
0.32
0.667
0.301
0.333
0.301
0.656
0.355
0.437
0.519
0.475
0.519
0.246
0.489
0.355
0.191
0.355
0.336
0.219
0.464
0.301
0.246
0.246
0.246
0.298
0.552
0.503
0.383
0.519
0.656
0.336
0.369
0.628
0.355
0.519
0.301
0.246
0.246
0.287
0.355
0.369
0.656
0.246
0.383
0.191
0.459
0.26
0.342
0.246
0.361
0.246
0.358
0.246
0.383
0.467
0.355
0.178
0.183
0.585
0.249
0.301
0.464
0.374
0.301
0.26
0.656
0.246
0.301
0.404
0.519
0.273
0.546
0.393
0.219
0.429
0.383
0.574
0.363
0.355
0.301
0.082
0.301
0.404
0.383
0.363
0.172
0.383
0.361
0.29
0.355
0.273
0.191
0.383
0.44
0.41
0.383
0.306
0.41
0.383
0.383
0.637
0.246
0.383
0.383
0.41
0.519
0.246
0.254
0.301
0.24
0.301
0.246
0.301
0.232
0.301
0.301
0.137
0.246
0.383
0.301
0.339
0.437
0.191
0.29
0.383
0.656
0.383
0.656
0.273
0.383
0.257
0.352
0.623
0.301
0.464
0.301
0.164
0.669
0.383
0.574
0.355
0.421
0.301
0.648
0.656
0.383
0.574
0.246
0.519
0.246
0.246
0.273
0.418
0.358
0.301
0.301
0.519
0.328
0.301
0.519
0.522
0.383
0.273
0.301
0.246
0.301
0.363
0.109
0.519
0.164
0.249
0.246
0.656
0.393
0.399
0.383
0.41
0.639
0.47
0.41
0.227
0.492
0.164
0.519
0.672
0.246
0.383
0.301
0.656
0.355
0.383
0.656
0.519
0.451
0.301
0.205
0.35
0.407
0.464
0.383
0.301
0.519
0.317
0.423
0.355
0.792
0.393
0.492
0.303
0.246
0.301
0.383
0.519
0.404
0.65
0.355
0.464
0.301
0.519
0.519
0.355
0.251
0.246
0.519
0.246
0.309
0.437
0.383
0.642
0.191
0.519
0.383
0.41
0.074
0.519
0.738
0.388
0.191
0.519
0.519
0.383
0.372
0.191
0.153
0.574
0.096
0.137
0.301
0.41
0.383
0.656
0.328
0.246
0.372
0.437
0.374
0.519
0.437
0.301
0.464
0.519
0.301
0.251
0.26
0.464
0.104
0.574
0.546
0.246
0.41
0.246
0.301
0.09
0.328
0.246
0.792
0.219
0.164
0.459
0.546
0.246
0.383
0.164
0.383
0.355
0.246
0.246
0.383
0.352
0.309
0.314
0.374
0.383
0.383
0.601
0.383
0.41
0.355
0.519
0.41
0.169
0.246
0.301
0.519
0.096
0.464
0.656
0.404
0.246
0.347
0.246
0.746
0.519
0.219
0.383
0.336
0.519
0.24
0.301
0.656
0.355
0.246
0.656
0.301
0.314
0.314
0.492
0.26
0.418
0.219
0.355
0.109
0.336
0.404
0.383
0.383
0.473
0.137
0.383
0.301
0.191
0.451
0.557
0.246
0.246
0.137
0.383
0.383
0.328
0.361
0.279
0.383
0.235
0.383
0.361
0.352
0.281
0.366
0.519
0.347
0.273
0.246
0.519
0.656
0.383
0.383
0.246
0.656
0.355
0.328
0.383
0.355
0.246
0.082
0.309
0.246
0.246
0.328
0.519
0.355
0.402
0.383
0.464
0.41
0.246
0.189
0.484
0.164
0.519
0.355
0.519
0.325
0.464
0.301
0.328
0.301
0.383
0.246
0.656
0.519
0.246
0.574
0.656
0.519
0.246
0.601
0.246
0.363
0.41
0.383
0.383
0.317
0.246
0.383
0.383
0.437
0.383
0.546
0.202
0.314
0.372
0.301
0.519
0.421
0.355
0.301
0.383
0.301
0.246
0.246
0.301
0.383
0.246
0.396
0.355
0.246
0.383
0.383
0.383
0.246
0.601
0.396
0.388
0.301
0.328
0.191
0.273
0.246
0.219
0.082
0.246
0.109
0.383
0.519
0.246
0.519
0.199
0.519
0.355
0.383
0.219
0.273
0.246
0.661
0.383
0.273
0.32
0.243
0.295
0.383
0.085
0.342
0.301
0.41
0.246
0.366
0.656
0.23
0.301
0.464
0.246
0.519
0.792
0.374
0.246
0.656
0.402
0.279
0.473
0.355
0.137
0.383
0.328
0.464
0.451
0.279
0.301
0.44
0.383
0.246
0.246
0.41
0.656
0.656
0.238
0.792
0.383
0.301
0.301
0.314
0.301
0.847
0.273
0.383
0.383
0.328
0.363
0.273
0.519
0.383
0.792
0.383
0.383
0.628
0.383
0.628
0.459
0.355
0.519
0.41
0.363
0.249
0.246
0.519
0.383
0.355
0.342
0.464
0.519
0.328
0.232
0.109
0.301
0.115
0.484
0.24
0.246
0.383
0.383
0.399
0.363
0.246
0.355
0.355
0.164
0.355
0.246
0.161
0.383
0.355
0.656
0.429
0.519
0.098
0.273
0.464
0.519
0.246
0.355
0.519
0.246
0.383
0.246
0.246
0.328
0.459
0.26
0.191
0.656
0.426
0.301
0.41
0.191
0.519
0.519
0.366
0.792
0.246
0.492
0.137
0.383
0.486
0.205
0.301
0.301
0.519
0.404
0.246
0.656
0.191
0.656
0.41
0.656
0.109
0.41
0.301
0.383
0.355
0.328
0.656
0.383
0.383
0.546
0.137
0.191
0.505
0.246
0.574
0.355
0.246
0.363
0.301
0.519
0.246
0.342
0.328
0.404
0.314
0.492
0.437
0.328
0.246
0.383
0.109
0.656
0.355
0.246
0.56
0.301
0.656
0.301
0.339
0.232
0.519
0.301
0.519
0.372
0.383
0.383
0.328
0.383
0.257
0.301
0.246
0.246
0.519
0.355
0.191
0.656
0.475
0.216
0.383
0.301
0.383
0.656
0.519
0.421
0.109
0.464
0.383
0.246
0.292
0.301
0.246
0.355
0.281
0.464
0.546
0.464
0.336
0.344
0.273
0.451
0.383
0.134
0.383
0.519
0.383
0.383
0.328
0.109
0.566
0.519
0.519
0.26
0.383
0.459
0.191
0.273
0.656
0.374
0.191
0.246
0.527
0.519
0.298
0.246
0.383
0.451
0.519
0.355
0.478
0.191
0.301
0.505
0.355
0.301
0.273
0.656
0.519
0.383
0.273
0.41
0.437
0.792
0.301
0.628
0.383
0.383
0.423
0.519
0.623
0.656
0.464
0.265
0.355
0.301
0.246
0.383
0.464
0.656
0.383
0.41
0.232
0.656
0.314
0.527
0.656
0.246
0.246
0.383
0.459
0.738
0.328
0.628
0.519
0.546
0.366
0.727
0.342
0.35
0.609
0.383
0.246
0.363
0.18
0.273
0.41
0.246
0.383
0.246
0.492
0.301
0.355
0.519
0.301
0.355
0.383
0.26
0.079
0.246
0.301
0.109
0.383
0.383
0.451
0.383
0.601
0.369
0.301
0.383
0.574
0.383
0.303
0.519
0.383
0.355
0.519
0.301
0.347
0.519
0.519
0.536
0.41
0.656
0.156
0.306
0.246
0.464
0.246
0.096
0.164
0.246
0.24
0.219
0.301
0.656
0.322
0.082
0.109
0.246
0.273
0.383
0.41
0.333
0.246
0.246
0.191
0.519
0.418
0.464
0.355
0.475
0.342
0.306
0.273
0.519
0.724
0.082
0.317
0.331
