TSSM_MIN,TSSM_MAX,TV,PTPM,BSHG
0.867,0.706,0.684,0.521,0.197
0.714,0.92,0.335,0.043,0.747
0.633,0.866,0.336,0.032,0.724
0.42,0.516,0.268,0.138,0.482
0.244,0.243,0.049,0.062,0.179
0.809,0.751,0.603,0.197,0.402
0.84,0.893,0.681,0.009,0.623
0.857,0.861,0.592,0.029,0.758
0.333,0.392,0.174,0.056,0.563
0.778,0.718,0.574,0.18,0.381
0.234,0.472,0.119,0.02,0.63
0.781,0.937,0.438,0.025,0.742
0.694,0.725,0.484,0.058,0.578
0.918,0.835,0.658,0.063,0.717
0.594,0.627,0.381,0.108,0.435
0.654,0.633,0.424,0.173,0.477
0.81,0.778,0.569,0.135,0.58
0.619,0.529,0.429,0.206,0.155
0.631,0.686,0.454,0.13,0.523
0.255,0.243,0.051,0.048,0.157
0.574,0.642,0.361,0.061,0.523
0.458,0.459,0.246,0.084,0.422
0.633,0.567,0.402,0.055,0.393
0.296,0.327,0.126,0.032,0.526
0.688,0.742,0.456,0.092,0.608
0.629,0.707,0.4,0.095,0.492
0.345,0.353,0.147,0.028,0.559
0.9,0.86,0.644,0.079,0.702
0.139,0.2,0.054,0.06,0.497
0.236,0.342,0.128,0.045,0.495
0.786,0.76,0.572,0.214,0.59
0.877,0.748,0.69,0.26,0.358
0.577,0.521,0.374,0.158,0.512
0.844,0.758,0.612,0.161,0.455
0.818,0.81,0.568,0.06,0.474
0.519,0.499,0.321,0.125,0.434
0.497,0.519,0.263,0.076,0.242
0.398,0.552,0.185,0.043,0.616
0.767,0.764,0.556,0.256,0.491
0.596,0.712,0.389,0.124,0.553
0.868,0.854,0.716,0.102,0.723
0.882,0.799,0.645,0.054,0.306
0.646,0.635,0.477,0.218,0.422
0.616,0.531,0.419,0.278,0.2
0.61,0.569,0.296,0.065,0.491
0.861,0.818,0.667,0.104,0.544
0.554,0.515,0.32,0.124,0.441
0.224,0.304,0.1,0.047,0.375
0.862,0.734,0.681,0.357,0.364
0.171,0.194,0.093,0.051,0.367
0.522,0.583,0.271,0.064,0.489
0.873,0.705,0.679,0.318,0.191
0.586,0.612,0.439,0.081,0.283
0.682,0.575,0.469,0.195,0.357
0.893,0.739,0.738,0.34,0.232
0.772,0.753,0.461,0.046,0.625
0.327,0.347,0.205,0.022,0.242
0.736,0.713,0.541,0.307,0.268
0.31,0.341,0.204,0.04,0.256
0.396,0.38,0.167,0.043,0.336
0.841,0.814,0.496,0.007,0.446
0.729,0.721,0.526,0.155,0.471
0.454,0.513,0.245,0.094,0.483
0.858,0.785,0.68,0.088,0.373
0.833,0.736,0.653,0.588,0.321
0.764,0.713,0.518,0.189,0.422
0.582,0.604,0.361,0.071,0.304
0.696,0.687,0.432,0.067,0.355
0.888,0.777,0.708,0.004,0.505
0.24,0.337,0.145,0.048,0.429
0.667,0.797,0.413,0.072,0.608
0.868,0.826,0.631,0.067,0.712
0.661,0.708,0.54,0.09,0.485
0.794,0.751,0.575,0.168,0.389
0.81,0.76,0.624,0.185,0.364
0.695,0.604,0.435,0.142,0.336
0.534,0.549,0.198,0.101,0.767
0.806,0.751,0.599,0.172,0.471
0.773,0.892,0.52,0.072,0.611
0.785,0.721,0.576,0.136,0.441
0.635,0.606,0.398,0.131,0.2
0.779,0.781,0.558,0.198,0.532
0.656,0.666,0.479,0.048,0.527
0.772,0.769,0.553,0.09,0.471
0.689,0.601,0.433,0.229,0.343
0.875,0.823,0.673,0.185,0.721
0.736,0.792,0.567,0.134,0.633
0.829,0.792,0.589,0.106,0.583
0.855,0.836,0.58,0.141,0.627
0.86,0.765,0.702,0.259,0.34
0.842,0.812,0.678,0.164,0.511
0.417,0.429,0.222,0.098,0.261
0.489,0.43,0.288,0.11,0.455
0.788,0.73,0.598,0.126,0.426
0.695,0.683,0.496,0.125,0.541
0.619,0.547,0.431,0.144,0.458
0.864,0.844,0.63,0.065,0.667
0.818,0.741,0.629,0.228,0.36
0.736,0.806,0.565,0.102,0.631
0.419,0.442,0.257,0.08,0.128
0.942,0.839,0.689,0.036,0.675
0.955,0.888,0.707,0.034,0.678
0.96,0.771,0.772,0.027,0.572
0.613,0.598,0.35,0.142,0.502
0.834,0.753,0.604,0.129,0.566
0.492,0.534,0.25,0.041,0.485
0.848,0.761,0.701,0.145,0.349
0.657,0.643,0.434,0.09,0.599
0.817,0.687,0.598,0.152,0.366
0.519,0.494,0.256,0.087,0.465
0.837,0.716,0.663,0.425,0.33
0.831,0.812,0.598,0.069,0.666
0.654,0.63,0.47,0.151,0.565
0.843,0.835,0.655,0.257,0.583
0.793,0.731,0.603,0.141,0.566
0.55,0.473,0.357,0.197,0.279
0.426,0.485,0.227,0.141,0.497
0.592,0.667,0.328,0.026,0.619
0.464,0.518,0.27,0.167,0.574
0.565,0.601,0.337,0.053,0.512
0.696,0.697,0.486,0.098,0.733
0.54,0.586,0.265,0.01,0.559
0.704,0.589,0.497,0.166,0.321
0.656,0.707,0.537,0.095,0.411
0.862,0.787,0.643,0.055,0.462
0.927,0.84,0.684,0.019,0.627
0.422,0.497,0.212,0.075,0.541
0.844,0.843,0.56,0.058,0.654
0.816,0.763,0.617,0.201,0.259
0.767,0.725,0.566,0.359,0.285
0.579,0.639,0.393,0.065,0.342
0.932,0.787,0.757,0.018,0.354
0.503,0.555,0.366,0.063,0.407
0.737,0.822,0.568,0.092,0.63
0.566,0.518,0.331,0.146,0.38
0.798,0.704,0.609,0.3,0.33
0.328,0.387,0.115,0.042,0.556
0.768,0.768,0.513,0.164,0.456
0.649,0.709,0.509,0.079,0.351
0.329,0.362,0.169,0.074,0.271
0.787,0.751,0.547,0.131,0.529
0.676,0.699,0.404,0.084,0.494
0.327,0.33,0.117,0.046,0.462
0.64,0.641,0.477,0.251,0.491
0.898,0.863,0.708,0.072,0.461
0.362,0.38,0.154,0.036,0.315
0.684,0.677,0.403,0.065,0.529
0.823,0.841,0.657,0.132,0.669
0.859,0.817,0.635,0.079,0.596
0.645,0.71,0.508,0.102,0.416
0.902,0.879,0.609,0.113,0.69
0.747,0.772,0.478,0.067,0.604
0.725,0.667,0.355,0.046,0.384
0.737,0.75,0.467,0.059,0.587
0.236,0.452,0.128,0.048,0.428
0.522,0.497,0.318,0.089,0.45
0.799,0.785,0.577,0.086,0.444
0.877,0.841,0.721,0.112,0.476
0.886,0.858,0.475,0.032,0.563
0.869,0.719,0.706,0.301,0.268
0.829,0.763,0.588,0.149,0.584
0.652,0.643,0.403,0.148,0.42
0.273,0.384,0.132,0.069,0.742
0.44,0.645,0.188,0.062,0.694
0.448,0.399,0.249,0.069,0.318
0.808,0.749,0.598,0.111,0.486
0.741,0.782,0.546,0.045,0.75
0.411,0.477,0.256,0.079,0.199
0.829,0.805,0.606,0.109,0.538
0.264,0.302,0.136,0.086,0.461
0.519,0.484,0.265,0.111,0.443
0.658,0.638,0.457,0.1,0.408
0.746,0.767,0.54,0.126,0.586
0.58,0.613,0.353,0.081,0.438
0.23,0.202,0.048,0.062,0.081
0.882,0.89,0.688,0.04,0.684
0.547,0.54,0.31,0.058,0.556
0.722,0.724,0.509,0.0,0.968
0.872,0.786,0.739,0.154,0.348
0.777,0.745,0.57,0.244,0.491
0.584,0.571,0.326,0.063,0.52
0.678,0.617,0.431,0.097,0.654
0.87,0.8,0.641,0.191,0.447
0.416,0.541,0.226,0.046,0.587
0.74,0.712,0.433,0.139,0.529
0.798,0.75,0.61,0.234,0.306
0.786,0.754,0.539,0.229,0.452
0.284,0.463,0.132,0.065,0.495
0.489,0.541,0.253,0.091,0.453
0.844,0.837,0.647,0.013,0.899
0.563,0.52,0.372,0.122,0.447
0.563,0.703,0.374,0.103,0.596
0.605,0.651,0.375,0.115,0.44
0.181,0.233,0.087,0.073,0.209
0.445,0.467,0.184,0.065,0.495
0.9,0.812,0.669,0.04,0.693
0.674,0.683,0.444,0.081,0.646
0.795,0.749,0.583,0.159,0.602
0.399,0.584,0.211,0.086,0.607
0.878,0.844,0.594,0.049,0.417
0.545,0.53,0.295,0.106,0.297
0.333,0.33,0.115,0.063,0.441
0.603,0.492,0.297,0.128,0.423
0.932,0.968,0.549,0.066,0.764
0.379,0.46,0.204,0.034,0.452
0.85,0.824,0.607,0.063,0.649
0.485,0.548,0.297,0.085,0.613
0.499,0.479,0.307,0.078,0.456
0.724,0.661,0.373,0.06,0.511
0.842,0.718,0.679,0.505,0.307
0.358,0.392,0.182,0.04,0.241
0.771,0.716,0.633,0.109,0.592
0.776,0.724,0.619,0.218,0.322
0.38,0.507,0.2,0.089,0.557
0.884,0.799,0.668,0.157,0.511
0.848,0.89,0.688,0.034,0.715
0.688,0.602,0.489,0.297,0.404
0.783,0.801,0.471,0.106,0.5
0.661,0.669,0.463,0.314,0.408
0.838,0.813,0.535,0.128,0.453
0.597,0.571,0.365,0.13,0.495
0.822,0.888,0.711,0.035,0.718
0.58,0.654,0.336,0.038,0.602
0.787,0.72,0.601,0.176,0.452
0.697,0.685,0.501,0.126,0.648
0.905,0.925,0.557,0.03,0.873
0.724,0.639,0.471,0.229,0.277
0.878,0.713,0.696,0.508,0.255
0.417,0.473,0.203,0.101,0.361
0.854,0.866,0.647,0.095,0.616
0.836,0.764,0.64,0.157,0.574
0.799,0.748,0.603,0.209,0.396
0.829,0.771,0.638,0.153,0.566
0.652,0.751,0.399,0.077,0.497
0.807,0.727,0.599,0.068,0.58
0.863,0.888,0.491,0.051,0.723
0.862,0.784,0.636,0.072,0.473
0.655,0.707,0.538,0.089,0.447
0.802,0.766,0.603,0.127,0.461
0.825,0.763,0.567,0.135,0.587
0.805,0.762,0.614,0.049,0.398
0.462,0.455,0.157,0.022,0.524
0.66,0.567,0.439,0.216,0.369
0.657,0.688,0.416,0.088,0.512
0.895,0.818,0.679,0.1,0.486
0.873,0.787,0.664,0.119,0.557
0.35,0.411,0.185,0.035,0.599
0.668,0.685,0.434,0.141,0.479
0.985,0.856,0.841,0.099,0.931
0.554,0.539,0.365,0.103,0.411
0.886,0.824,0.671,0.138,0.542
0.704,0.776,0.437,0.075,0.613
0.411,0.384,0.168,0.012,0.506
0.601,0.5,0.317,0.156,0.315
0.915,0.855,0.705,0.074,0.736
0.478,0.503,0.29,0.113,0.387
0.234,0.273,0.101,0.043,0.321
0.923,0.865,0.589,0.05,0.785
0.809,0.739,0.575,0.138,0.502
0.58,0.495,0.37,0.081,0.372
0.833,0.761,0.665,0.148,0.39
0.862,0.74,0.662,0.116,0.511
0.47,0.428,0.253,0.135,0.267
0.701,0.742,0.474,0.141,0.402
0.82,0.795,0.565,0.122,0.631
0.277,0.271,0.125,0.074,0.206
0.29,0.468,0.14,0.039,0.503
0.898,0.811,0.694,0.099,0.771
0.8,0.859,0.472,0.0,1.0
0.605,0.562,0.326,0.101,0.529
0.244,0.306,0.105,0.047,0.502
0.656,0.684,0.461,0.095,0.319
0.734,0.695,0.496,0.094,0.464
0.277,0.335,0.131,0.032,0.572
0.799,0.73,0.542,0.262,0.488
0.636,0.625,0.48,0.233,0.37
0.859,0.842,0.526,0.041,0.661
0.277,0.26,0.129,0.09,0.182
0.852,0.788,0.694,0.135,0.5
0.846,0.721,0.661,0.138,0.322
0.043,0.023,0.015,0.073,0.154
0.824,0.881,0.569,0.023,0.92
0.468,0.518,0.273,0.146,0.565
0.825,0.767,0.661,0.155,0.467
0.444,0.494,0.277,0.155,0.518
0.607,0.611,0.405,0.076,0.286
0.808,0.755,0.541,0.17,0.464
0.891,0.894,0.559,0.043,0.708
0.405,0.454,0.206,0.092,0.325
0.789,0.807,0.581,0.013,0.855
0.915,0.916,0.542,0.04,0.58
0.442,0.415,0.264,0.166,0.277
0.837,0.786,0.537,0.185,0.437
0.628,0.525,0.418,0.251,0.14
0.227,0.436,0.126,0.058,0.498
0.849,0.777,0.68,0.227,0.319
0.228,0.403,0.104,0.084,0.417
0.256,0.256,0.109,0.063,0.25
0.917,0.921,0.783,0.0,0.62
0.501,0.488,0.243,0.071,0.387
0.879,0.856,0.679,0.033,0.666
0.744,0.797,0.546,0.118,0.551
0.839,0.778,0.663,0.181,0.339
0.726,0.714,0.506,0.225,0.479
0.892,0.917,0.677,0.011,0.642
0.819,0.745,0.63,0.475,0.389
0.819,0.807,0.562,0.098,0.643
0.755,0.729,0.504,0.067,0.511
0.579,0.587,0.345,0.069,0.408
0.794,0.697,0.572,0.163,0.473
0.81,0.8,0.499,0.104,0.649
0.535,0.534,0.228,0.019,0.462
0.927,0.845,0.641,0.04,0.744
0.605,0.507,0.391,0.456,0.352
0.744,0.708,0.519,0.146,0.509
0.81,0.793,0.55,0.09,0.611
0.877,0.914,0.587,0.034,0.798
0.418,0.377,0.219,0.165,0.361
0.622,0.588,0.467,0.085,0.361
0.827,0.724,0.623,0.044,0.182
0.868,0.811,0.633,0.067,0.688
0.789,0.875,0.649,0.0,0.786
0.925,0.958,0.546,0.031,0.854
0.829,0.759,0.66,0.135,0.497
0.773,0.738,0.518,0.175,0.508
0.603,0.612,0.376,0.027,0.557
0.852,0.877,0.496,0.072,0.705
0.86,0.74,0.52,0.094,0.601
0.795,0.753,0.629,0.145,0.426
0.63,0.535,0.426,0.127,0.274
0.893,0.879,0.628,0.022,0.648
0.758,0.726,0.595,0.361,0.205
0.665,0.685,0.375,0.087,0.396
0.842,0.79,0.583,0.154,0.505
0.838,0.778,0.479,0.172,0.608
0.427,0.468,0.134,0.062,0.611
0.579,0.556,0.358,0.113,0.244
0.467,0.479,0.256,0.104,0.449
0.518,0.496,0.235,0.123,0.458
0.232,0.418,0.163,0.04,0.492
0.894,0.857,0.727,0.056,0.768
0.558,0.562,0.345,0.068,0.289
0.674,0.674,0.406,0.053,0.452
0.842,0.775,0.658,0.112,0.411
0.855,0.702,0.685,0.471,0.286
0.49,0.425,0.29,0.2,0.318
0.522,0.591,0.239,0.163,0.367
0.667,0.617,0.354,0.011,0.753
0.856,0.84,0.617,0.079,0.518
0.436,0.415,0.264,0.13,0.265
0.876,0.675,0.705,0.348,0.205
0.919,0.789,0.713,0.071,0.069
0.493,0.523,0.277,0.066,0.554
0.88,0.874,0.478,0.059,0.706
0.863,0.822,0.541,0.051,0.58
0.831,0.817,0.529,0.09,0.738
0.886,0.782,0.745,0.154,0.324
0.872,0.799,0.625,0.056,0.512
0.819,0.765,0.59,0.11,0.584
0.854,0.802,0.718,0.091,0.577
0.728,0.668,0.464,0.217,0.336
0.619,0.623,0.441,0.119,0.485
0.758,0.922,0.721,0.0,0.605
0.911,0.912,0.642,0.099,0.575
0.586,0.582,0.392,0.055,0.33
0.893,0.894,0.463,0.061,0.795
0.874,0.777,0.68,0.15,0.315
0.894,0.929,0.573,0.049,0.806
0.297,0.479,0.138,0.036,0.544
0.0,0.0,0.0,0.084,0.181
0.589,0.649,0.436,0.219,0.548
0.457,0.442,0.26,0.073,0.422
0.842,0.826,0.578,0.163,0.614
0.831,0.752,0.531,0.129,0.492
0.676,0.66,0.466,0.128,0.53
0.832,0.844,0.572,0.074,0.664
0.57,0.672,0.35,0.067,0.607
0.617,0.493,0.313,0.132,0.318
0.366,0.282,0.146,0.062,0.414
0.557,0.519,0.331,0.129,0.446
0.843,0.695,0.675,0.429,0.226
0.834,0.805,0.59,0.145,0.551
0.306,0.319,0.133,0.123,0.267
0.66,0.651,0.282,0.067,0.529
0.533,0.65,0.34,0.058,0.455
0.649,0.65,0.412,0.088,0.37
0.903,0.898,0.664,0.061,0.637
0.649,0.635,0.366,0.09,0.465
0.586,0.601,0.399,0.094,0.434
0.833,0.834,0.689,0.062,0.655
0.612,0.611,0.4,0.149,0.334
0.785,0.791,0.571,0.126,0.449
0.852,0.692,0.707,0.308,0.279
0.664,0.554,0.462,0.261,0.227
0.774,0.719,0.59,0.228,0.312
0.8,0.9,0.696,0.0,0.745
0.549,0.519,0.333,0.159,0.256
0.793,0.722,0.557,0.181,0.471
0.909,0.9,0.663,0.037,0.708
0.815,0.734,0.522,0.24,0.411
0.6,0.729,0.382,0.074,0.584
0.457,0.515,0.277,0.173,0.679
0.843,0.752,0.674,0.43,0.337
0.677,0.728,0.549,0.035,0.545
0.603,0.682,0.391,0.153,0.605
0.427,0.374,0.199,0.072,0.339
0.588,0.476,0.296,0.107,0.264
0.614,0.645,0.441,0.117,0.429
0.41,0.519,0.271,0.132,0.581
0.874,0.856,0.639,0.046,0.551
0.514,0.525,0.277,0.09,0.367
0.429,0.39,0.207,0.115,0.328
0.873,0.798,0.696,0.151,0.532
0.606,0.63,0.381,0.056,0.636
0.802,0.91,0.556,0.058,0.608
0.792,0.689,0.549,0.081,0.557
0.841,0.759,0.658,0.259,0.304
0.846,0.821,0.689,0.225,0.584
0.853,0.878,0.539,0.041,0.601
0.348,0.372,0.146,0.045,0.366
0.668,0.591,0.381,0.1,0.41
0.268,0.5,0.168,0.048,0.497
0.834,0.749,0.629,0.157,0.56
0.816,0.757,0.639,0.177,0.41
0.166,0.201,0.092,0.062,0.291
0.386,0.337,0.214,0.203,0.274
0.754,0.735,0.543,0.193,0.545
0.337,0.411,0.163,0.046,0.404
0.568,0.568,0.343,0.067,0.294
0.872,0.792,0.609,0.079,0.464
0.439,0.421,0.227,0.079,0.384
0.68,0.637,0.44,0.076,0.455
0.684,0.664,0.482,0.164,0.586
0.644,0.667,0.499,0.254,0.529
0.508,0.482,0.288,0.052,0.545
0.609,0.684,0.392,0.096,0.444
0.886,0.875,0.718,0.124,0.467
0.829,0.789,0.55,0.069,0.672
0.889,0.825,0.657,0.049,0.718
0.786,0.79,0.575,0.085,0.494
0.817,0.764,0.625,0.164,0.565
0.843,0.844,0.59,0.069,0.541
0.813,0.759,0.507,0.076,0.657
0.832,0.776,0.583,0.265,0.497
0.422,0.379,0.234,0.116,0.184
0.858,0.774,0.5,0.135,0.447
0.291,0.362,0.115,0.087,0.533
0.642,0.663,0.397,0.064,0.339
0.723,0.657,0.436,0.134,0.425
0.582,0.579,0.375,0.087,0.324
0.564,0.637,0.396,0.053,0.461
0.576,0.598,0.362,0.07,0.474
0.068,0.052,0.026,0.071,0.262
0.502,0.54,0.265,0.066,0.239
0.847,0.808,0.633,0.091,0.547
0.848,0.803,0.637,0.141,0.569
0.516,0.554,0.273,0.047,0.586
0.854,0.765,0.602,0.128,0.631
0.714,0.668,0.429,0.103,0.542
0.864,0.86,0.536,0.045,0.669
0.8,0.83,0.431,0.069,0.462
0.553,0.535,0.232,0.042,0.559
0.753,0.716,0.572,0.218,0.288
0.624,0.524,0.423,0.217,0.23
0.467,0.414,0.257,0.157,0.288
0.787,0.849,0.53,0.219,0.83
0.529,0.581,0.389,0.387,0.52
0.8,0.803,0.569,0.128,0.485
0.814,0.747,0.585,0.213,0.492
0.691,0.726,0.407,0.049,0.533
0.83,0.738,0.607,0.146,0.587
0.596,0.584,0.366,0.042,0.574
0.917,0.863,0.635,0.078,0.587
0.641,0.624,0.378,0.09,0.517
0.844,0.762,0.66,0.137,0.529
0.713,0.724,0.415,0.068,0.387
0.785,0.777,0.565,0.166,0.536
0.848,0.791,0.635,0.187,0.673
0.775,0.733,0.581,0.145,0.657
0.577,0.533,0.405,0.144,0.494
0.664,0.584,0.459,0.189,0.398
0.543,0.54,0.344,0.067,0.416
0.837,0.736,0.672,0.432,0.286
0.836,0.812,0.547,0.079,0.651
0.904,0.831,0.676,0.0,0.636
0.813,0.74,0.505,0.098,0.599
0.403,0.565,0.185,0.077,0.619
0.545,0.56,0.304,0.064,0.435
0.824,0.777,0.548,0.142,0.604
0.285,0.468,0.144,0.047,0.508
0.508,0.536,0.264,0.069,0.36
0.893,0.872,0.54,0.074,0.699
0.529,0.532,0.309,0.148,0.462
0.78,0.697,0.595,0.151,0.366
0.339,0.341,0.132,0.064,0.363
0.81,0.789,0.565,0.148,0.455
0.568,0.659,0.323,0.023,0.717
0.847,0.745,0.6,0.132,0.512
0.832,0.824,0.576,0.128,0.607
0.674,0.574,0.457,0.387,0.38
0.83,0.904,0.681,0.015,0.596
0.722,0.744,0.501,0.128,0.435
0.877,0.806,0.629,0.112,0.461
0.618,0.668,0.389,0.068,0.498
0.487,0.43,0.276,0.168,0.346
0.303,0.31,0.199,0.074,0.202
0.859,0.789,0.713,0.105,0.41
0.363,0.305,0.174,0.107,0.42
0.396,0.458,0.138,0.064,0.535
0.585,0.599,0.34,0.045,0.399
0.353,0.367,0.132,0.051,0.438
0.895,0.805,0.618,0.013,0.667
0.642,0.588,0.42,0.213,0.517
0.771,0.761,0.526,0.244,0.324
0.433,0.486,0.2,0.065,0.404
0.7,0.653,0.373,0.072,0.473
0.93,0.78,0.722,0.113,0.657
0.816,0.772,0.621,0.151,0.491
0.763,0.737,0.539,0.146,0.366
0.731,0.715,0.543,0.224,0.443
0.862,0.785,0.637,0.196,0.592
0.645,0.615,0.296,0.027,0.52
0.493,0.533,0.284,0.07,0.547
0.651,0.551,0.461,0.287,0.283
0.892,0.817,0.679,0.141,0.541
0.524,0.5,0.259,0.087,0.557
0.864,0.683,0.707,0.314,0.3
0.678,0.59,0.457,0.256,0.267
0.649,0.708,0.537,0.13,0.446
0.316,0.31,0.133,0.134,0.279
0.972,0.811,0.744,0.033,0.568
0.556,0.523,0.318,0.057,0.503
0.801,0.769,0.629,0.157,0.367
0.795,0.746,0.566,0.178,0.405
0.479,0.539,0.238,0.037,0.523
0.312,0.459,0.185,0.076,0.569
0.904,0.865,0.675,0.029,0.694
0.65,0.563,0.455,0.233,0.279
0.895,0.789,0.724,0.075,0.416
0.873,0.716,0.699,0.4,0.25
0.489,0.438,0.263,0.217,0.321
0.724,0.688,0.357,0.079,0.544
0.804,0.75,0.648,0.112,0.476
0.577,0.584,0.352,0.056,0.589
0.806,0.757,0.584,0.173,0.538
0.852,0.797,0.675,0.055,0.67
0.809,0.775,0.592,0.117,0.556
0.723,0.705,0.493,0.114,0.422
0.84,0.726,0.653,0.318,0.203
0.712,0.669,0.452,0.088,0.438
0.761,0.725,0.531,0.417,0.202
0.889,0.801,0.668,0.132,0.658
0.581,0.55,0.302,0.035,0.512
0.629,0.576,0.326,0.053,0.508
0.878,0.917,0.621,0.025,0.864
0.333,0.321,0.107,0.034,0.361
0.588,0.636,0.359,0.023,0.446
0.899,0.77,0.698,0.163,0.426
0.803,0.778,0.575,0.119,0.398
0.603,0.614,0.43,0.11,0.358
0.927,0.905,0.743,0.023,0.666
0.807,0.808,0.556,0.123,0.554
0.445,0.429,0.224,0.085,0.452
0.876,0.84,0.709,0.131,0.599
0.906,0.916,0.666,0.092,0.718
0.738,0.767,0.498,0.116,0.432
0.556,0.546,0.317,0.052,0.464
0.793,0.807,0.582,0.025,0.447
0.44,0.382,0.247,0.159,0.143
0.311,0.484,0.151,0.069,0.473
0.845,0.756,0.626,0.222,0.41
0.816,0.764,0.63,0.216,0.459
0.436,0.472,0.244,0.068,0.617
0.583,0.648,0.375,0.074,0.538
0.46,0.454,0.236,0.074,0.461
0.726,0.778,0.481,0.139,0.443
0.843,0.834,0.619,0.056,0.505
0.799,0.763,0.558,0.087,0.628
0.197,0.366,0.074,0.032,0.63
0.395,0.584,0.238,0.062,0.672
0.591,0.602,0.385,0.075,0.321
0.864,0.837,0.644,0.07,0.663
0.162,0.193,0.064,0.029,0.486
0.402,0.366,0.203,0.125,0.23
0.892,0.838,0.616,0.104,0.669
0.85,0.794,0.584,0.121,0.614
0.708,0.767,0.5,0.124,0.444
0.662,0.627,0.468,0.125,0.163
0.865,0.845,0.629,0.033,0.589
0.828,0.788,0.578,0.147,0.682
0.804,0.754,0.484,0.053,0.654
0.883,0.816,0.717,0.161,0.642
0.793,0.818,0.607,0.082,0.526
0.8,0.727,0.643,0.373,0.331
0.26,0.392,0.091,0.041,0.488
0.448,0.464,0.305,0.014,0.539
0.842,0.847,0.674,0.08,0.631
0.819,0.868,0.632,0.023,0.741
0.742,0.736,0.528,0.142,0.599
0.801,0.768,0.575,0.13,0.547
0.871,0.832,0.623,0.064,0.517
0.783,0.732,0.588,0.265,0.271
0.569,0.567,0.375,0.163,0.355
0.723,0.796,0.428,0.105,0.479
0.585,0.664,0.385,0.206,0.532
0.672,0.601,0.387,0.148,0.393
0.321,0.299,0.145,0.054,0.423
0.658,0.668,0.482,0.241,0.462
0.563,0.576,0.334,0.062,0.366
0.888,0.844,0.632,0.054,0.724
0.335,0.501,0.164,0.046,0.375
0.599,0.547,0.331,0.046,0.498
0.836,0.884,0.576,0.001,0.822
0.038,0.013,0.011,0.08,0.205
0.274,0.479,0.146,0.063,0.473
0.476,0.519,0.268,0.077,0.476
0.22,0.33,0.133,0.044,0.446
0.87,0.801,0.638,0.149,0.574
0.288,0.298,0.138,0.028,0.645
0.71,0.626,0.426,0.155,0.468
0.799,0.737,0.528,0.173,0.432
0.827,0.743,0.688,0.433,0.381
0.885,0.881,0.541,0.023,0.801
0.904,0.975,0.573,0.013,0.837
0.878,0.874,0.664,0.08,0.697
0.327,0.398,0.178,0.046,0.339
0.416,0.477,0.232,0.101,0.455
0.88,0.786,0.686,0.176,0.39
0.894,0.819,0.647,0.069,0.476
0.315,0.453,0.19,0.047,0.411
0.297,0.457,0.132,0.047,0.36
0.257,0.322,0.117,0.051,0.518
0.489,0.42,0.296,0.094,0.39
0.327,0.353,0.156,0.052,0.339
0.439,0.467,0.263,0.058,0.152
0.907,0.872,0.657,0.124,0.455
0.65,0.621,0.495,0.083,0.236
0.262,0.318,0.126,0.062,0.42
0.319,0.47,0.161,0.101,0.431
0.76,0.75,0.585,0.201,0.386
0.429,0.524,0.284,0.09,0.467
0.88,0.764,0.679,0.105,0.553
0.653,0.891,0.345,0.04,0.741
0.212,0.31,0.138,0.066,0.458
0.552,0.581,0.42,0.159,0.45
0.794,0.748,0.611,0.234,0.459
0.781,0.691,0.451,0.254,0.506
0.588,0.585,0.362,0.09,0.316
0.539,0.492,0.314,0.257,0.244
0.682,0.729,0.407,0.075,0.512
0.695,0.759,0.457,0.127,0.325
0.846,0.813,0.612,0.069,0.419
0.592,0.605,0.408,0.133,0.429
0.276,0.308,0.12,0.078,0.42
0.368,0.333,0.101,0.02,0.428
0.829,0.824,0.573,0.078,0.699
0.158,0.179,0.073,0.116,0.348
0.602,0.616,0.368,0.089,0.467
0.637,0.58,0.33,0.076,0.449
0.606,0.666,0.37,0.131,0.453
0.78,0.72,0.556,0.246,0.45
0.568,0.6,0.346,0.024,0.581
0.653,0.636,0.422,0.1,0.482
0.813,0.736,0.62,0.133,0.541
0.856,0.8,0.462,0.096,0.392
0.807,0.752,0.618,0.18,0.452
0.205,0.263,0.066,0.049,0.102
0.902,0.855,0.725,0.135,0.607
0.701,0.59,0.498,0.128,0.261
0.839,0.82,0.535,0.088,0.62
0.694,0.637,0.385,0.104,0.381
0.336,0.496,0.173,0.064,0.557
0.342,0.326,0.114,0.064,0.405
0.909,0.805,0.705,0.083,0.637
0.552,0.466,0.341,0.134,0.288
0.849,0.795,0.695,0.0,0.151
0.591,0.656,0.409,0.148,0.474
0.594,0.583,0.343,0.085,0.422
0.66,0.583,0.437,0.16,0.461
0.903,0.838,0.729,0.15,0.651
0.873,0.846,0.607,0.07,0.661
0.877,0.812,0.642,0.187,0.565
0.757,0.824,0.552,0.106,0.571
0.806,0.793,0.539,0.102,0.437
0.844,0.757,0.697,0.442,0.395
0.463,0.47,0.265,0.152,0.313
0.853,0.843,0.538,0.103,0.681
0.868,0.802,0.631,0.147,0.625
0.825,0.7,0.672,0.552,0.166
0.587,0.628,0.351,0.05,0.517
0.803,0.767,0.57,0.184,0.477
0.608,0.677,0.384,0.06,0.477
0.871,0.813,0.458,0.071,0.598
0.611,0.602,0.362,0.056,0.404
0.852,0.838,0.614,0.019,0.592
0.867,0.85,0.62,0.062,0.721
0.356,0.396,0.203,0.266,0.417
0.826,0.803,0.609,0.125,0.514
