TSSM_MAX,TSSM_MIN,TV,PTPM,BSHG
0.596,0.555,0.218,0.059,0.526
0.708,0.835,0.666,0.434,0.288
0.879,0.902,0.609,0.113,0.69
0.335,0.277,0.131,0.032,0.572
0.732,0.786,0.608,0.167,0.294
0.499,0.48,0.263,0.083,0.188
0.832,0.853,0.56,0.104,0.661
0.85,0.827,0.514,0.054,0.648
0.827,0.825,0.628,0.142,0.42
0.672,0.748,0.499,0.196,0.242
0.666,0.869,0.704,0.352,0.285
0.916,0.915,0.542,0.04,0.58
0.805,0.919,0.66,0.085,0.541
0.5,0.268,0.168,0.048,0.497
0.756,0.818,0.622,0.166,0.419
0.411,0.347,0.201,0.243,0.447
0.453,0.441,0.279,0.131,0.333
0.353,0.327,0.156,0.052,0.339
0.506,0.503,0.335,0.072,0.523
0.651,0.58,0.388,0.059,0.535
0.466,0.546,0.312,0.056,0.357
0.542,0.569,0.296,0.071,0.411
0.565,0.403,0.185,0.077,0.619
0.654,0.67,0.482,0.135,0.381
0.598,0.613,0.35,0.142,0.502
0.483,0.411,0.186,0.033,0.429
0.578,0.577,0.357,0.119,0.239
0.781,0.83,0.63,0.132,0.425
0.809,0.888,0.666,0.129,0.693
0.686,0.766,0.544,0.275,0.306
0.896,0.89,0.62,0.042,0.765
0.804,0.854,0.642,0.146,0.61
0.62,0.61,0.397,0.143,0.42
0.857,0.878,0.564,0.055,0.574
0.551,0.657,0.476,0.18,0.321
0.645,0.654,0.367,0.098,0.545
0.839,0.901,0.678,0.108,0.589
0.857,0.849,0.535,0.03,0.542
0.305,0.363,0.174,0.107,0.42
0.807,0.864,0.598,0.128,0.658
0.818,0.882,0.612,0.143,0.608
0.342,0.33,0.146,0.052,0.327
0.576,0.621,0.303,0.057,0.47
0.818,0.895,0.679,0.1,0.486
0.853,0.844,0.665,0.082,0.771
0.445,0.431,0.277,0.068,0.449
0.824,0.84,0.558,0.057,0.697
0.458,0.443,0.146,0.059,0.545
0.856,0.899,0.635,0.031,0.679
0.33,0.288,0.113,0.039,0.523
0.844,0.878,0.594,0.049,0.417
0.847,0.891,0.72,0.1,0.425
0.877,0.929,0.598,0.069,0.697
0.478,0.512,0.273,0.095,0.471
0.486,0.552,0.307,0.15,0.369
0.729,0.753,0.538,0.206,0.547
0.807,0.828,0.564,0.086,0.642
0.411,0.358,0.208,0.041,0.413
0.892,0.865,0.685,0.012,0.672
0.775,0.742,0.507,0.136,0.53
0.668,0.663,0.421,0.16,0.416
0.26,0.277,0.129,0.09,0.182
0.779,0.764,0.494,0.091,0.483
0.188,0.139,0.051,0.037,0.485
0.527,0.507,0.258,0.133,0.498
0.845,0.885,0.693,0.198,0.384
0.736,0.8,0.628,0.17,0.45
0.36,0.27,0.149,0.07,0.453
0.351,0.397,0.169,0.016,0.53
0.829,0.908,0.601,0.094,0.73
0.778,0.726,0.481,0.139,0.443
0.559,0.691,0.478,0.192,0.119
0.482,0.353,0.15,0.101,0.389
0.842,0.902,0.713,0.198,0.551
0.781,0.813,0.614,0.121,0.426
0.392,0.412,0.259,0.09,0.22
0.736,0.892,0.655,0.234,0.45
0.812,0.831,0.622,0.122,0.563
0.684,0.656,0.461,0.095,0.319
0.692,0.852,0.707,0.308,0.279
0.336,0.325,0.146,0.087,0.352
0.804,0.862,0.679,0.193,0.44
0.633,0.673,0.445,0.196,0.369
0.789,0.919,0.713,0.071,0.069
0.606,0.587,0.432,0.149,0.44
0.428,0.47,0.253,0.135,0.267
0.752,0.831,0.531,0.129,0.492
0.387,0.369,0.176,0.027,0.61
0.53,0.545,0.295,0.106,0.297
0.818,0.843,0.559,0.14,0.495
0.856,0.863,0.58,0.085,0.652
0.734,0.826,0.654,0.305,0.357
0.852,0.864,0.655,0.017,0.497
0.692,0.607,0.418,0.178,0.479
0.779,0.809,0.592,0.167,0.428
0.722,0.724,0.524,0.212,0.563
0.614,0.648,0.359,0.076,0.529
0.837,0.884,0.479,0.08,0.673
0.571,0.612,0.311,0.077,0.471
0.919,0.885,0.664,0.01,0.839
0.808,0.836,0.617,0.106,0.547
0.623,0.586,0.347,0.041,0.583
0.652,0.655,0.463,0.325,0.458
0.758,0.839,0.538,0.095,0.556
0.46,0.511,0.278,0.059,0.411
0.745,0.819,0.63,0.475,0.389
0.839,0.816,0.509,0.104,0.557
0.953,0.878,0.62,0.039,0.786
0.707,0.698,0.5,0.091,0.514
0.884,0.836,0.576,0.001,0.822
0.764,0.812,0.623,0.139,0.488
0.351,0.365,0.234,0.145,0.309
0.211,0.155,0.083,0.084,0.352
0.785,0.858,0.68,0.088,0.373
0.596,0.534,0.262,0.057,0.342
0.274,0.289,0.132,0.067,0.218
0.782,0.741,0.546,0.045,0.75
0.445,0.285,0.17,0.076,0.488
0.835,0.893,0.645,0.106,0.652
0.371,0.272,0.099,0.031,0.63
0.509,0.527,0.313,0.103,0.462
0.323,0.185,0.06,0.071,0.551
0.361,0.434,0.221,0.114,0.334
0.797,0.667,0.413,0.072,0.608
0.459,0.457,0.292,0.098,0.459
0.745,0.847,0.6,0.132,0.512
0.743,0.791,0.64,0.474,0.398
0.699,0.676,0.404,0.084,0.494
0.828,0.876,0.697,0.091,0.605
0.87,0.861,0.537,0.055,0.639
0.782,0.802,0.559,0.197,0.45
0.456,0.284,0.152,0.062,0.483
0.811,0.848,0.591,0.118,0.601
0.896,0.861,0.508,0.027,0.649
0.842,0.843,0.662,0.005,0.577
0.85,0.864,0.669,0.096,0.526
0.749,0.767,0.555,0.213,0.414
0.66,0.789,0.528,0.148,0.462
0.742,0.881,0.71,0.313,0.309
0.506,0.487,0.317,0.166,0.291
0.713,0.771,0.421,0.254,0.637
0.328,0.244,0.127,0.041,0.47
0.559,0.576,0.323,0.083,0.399
0.246,0.158,0.094,0.001,0.333
0.767,0.807,0.652,0.16,0.396
0.681,0.643,0.475,0.083,0.486
0.893,0.84,0.681,0.009,0.623
0.746,0.835,0.673,0.443,0.383
0.753,0.823,0.635,0.094,0.261
0.535,0.553,0.232,0.042,0.559
0.337,0.24,0.145,0.048,0.429
0.839,0.797,0.739,0.031,0.693
0.601,0.689,0.433,0.229,0.343
0.813,0.902,0.709,0.097,0.495
0.442,0.419,0.257,0.08,0.128
0.77,0.753,0.523,0.094,0.685
0.874,0.878,0.664,0.08,0.697
0.226,0.203,0.053,0.063,0.078
0.507,0.496,0.328,0.199,0.477
0.805,0.857,0.679,0.199,0.512
0.874,0.85,0.678,0.065,0.649
0.801,0.851,0.694,0.268,0.52
0.613,0.692,0.381,0.066,0.381
0.491,0.524,0.308,0.116,0.45
0.779,0.878,0.667,0.177,0.584
0.69,0.699,0.428,0.092,0.58
0.709,0.652,0.537,0.096,0.45
0.398,0.327,0.178,0.046,0.339
0.836,0.82,0.593,0.143,0.563
0.729,0.654,0.505,0.083,0.423
0.479,0.422,0.19,0.043,0.413
0.32,0.329,0.136,0.057,0.27
0.858,0.869,0.595,0.076,0.62
0.751,0.82,0.641,0.128,0.378
0.909,0.911,0.631,0.004,0.738
0.804,0.843,0.688,0.067,0.619
0.802,0.852,0.678,0.207,0.622
0.482,0.42,0.26,0.139,0.494
0.766,0.833,0.659,0.259,0.467
0.698,0.585,0.365,0.04,0.559
0.832,0.745,0.552,0.082,0.645
0.855,0.895,0.695,0.06,0.727
0.852,0.886,0.534,0.062,0.648
0.851,0.903,0.674,0.053,0.702
0.885,0.867,0.648,0.271,0.687
0.757,0.834,0.538,0.165,0.627
0.744,0.812,0.584,0.156,0.542
0.779,0.778,0.612,0.083,0.565
0.768,0.815,0.622,0.167,0.56
0.814,0.829,0.394,0.054,0.495
0.8,0.863,0.478,0.06,0.657
0.647,0.72,0.46,0.198,0.348
0.33,0.333,0.115,0.063,0.441
0.4,0.44,0.183,0.075,0.396
0.494,0.444,0.277,0.155,0.518
0.739,0.891,0.737,0.546,0.241
0.844,0.821,0.493,0.032,0.536
0.714,0.737,0.527,0.155,0.514
0.458,0.467,0.285,0.119,0.538
0.431,0.489,0.273,0.177,0.307
0.471,0.533,0.36,0.129,0.36
0.429,0.445,0.224,0.085,0.452
0.684,0.776,0.608,0.133,0.334
0.79,0.808,0.498,0.043,0.455
0.792,0.736,0.567,0.134,0.633
0.812,0.886,0.67,0.084,0.655
0.75,0.647,0.495,0.041,0.461
0.711,0.757,0.416,0.069,0.589
0.276,0.236,0.118,0.105,0.42
0.368,0.336,0.181,0.056,0.553
0.586,0.666,0.454,0.216,0.36
0.499,0.408,0.206,0.078,0.483
0.562,0.503,0.301,0.119,0.444
0.429,0.442,0.194,0.075,0.242
0.519,0.41,0.271,0.132,0.581
0.425,0.369,0.205,0.114,0.458
0.769,0.772,0.553,0.09,0.471
0.763,0.928,0.727,0.048,0.679
0.483,0.456,0.278,0.082,0.203
0.701,0.635,0.373,0.047,0.495
0.728,0.881,0.607,0.061,0.464
0.533,0.493,0.284,0.07,0.547
0.595,0.676,0.359,0.116,0.426
0.612,0.653,0.435,0.254,0.413
0.708,0.661,0.54,0.09,0.485
0.733,0.599,0.396,0.183,0.581
0.779,0.77,0.567,0.133,0.5
0.834,0.86,0.636,0.122,0.625
0.63,0.606,0.381,0.056,0.636
0.406,0.356,0.166,0.045,0.533
0.863,0.876,0.698,0.081,0.601
0.593,0.586,0.367,0.164,0.431
0.789,0.844,0.614,0.227,0.575
0.772,0.835,0.667,0.182,0.358
0.744,0.814,0.536,0.167,0.548
0.823,0.919,0.703,0.067,0.542
0.744,0.793,0.604,0.181,0.423
0.729,0.819,0.556,0.069,0.681
0.243,0.244,0.049,0.062,0.179
0.862,0.914,0.628,0.126,0.562
0.465,0.237,0.075,0.063,0.544
0.783,0.799,0.616,0.165,0.372
0.606,0.625,0.355,0.124,0.563
0.201,0.166,0.092,0.062,0.291
0.791,0.866,0.613,0.131,0.607
0.774,0.774,0.567,0.122,0.517
0.481,0.459,0.273,0.216,0.393
0.564,0.338,0.128,0.042,0.48
0.697,0.749,0.519,0.242,0.456
0.767,0.803,0.57,0.184,0.477
0.891,0.653,0.345,0.04,0.741
0.878,0.853,0.539,0.041,0.601
0.591,0.668,0.381,0.1,0.41
0.378,0.298,0.105,0.046,0.515
0.875,0.789,0.649,0.0,0.786
0.821,0.848,0.555,0.051,0.593
0.892,0.931,0.696,0.061,0.646
0.374,0.427,0.199,0.072,0.339
0.412,0.374,0.148,0.019,0.292
0.456,0.496,0.301,0.132,0.432
0.789,0.935,0.702,0.333,0.242
0.735,0.756,0.59,0.239,0.218
0.827,0.896,0.579,0.037,0.642
0.819,0.855,0.675,0.153,0.452
0.835,0.859,0.589,0.053,0.783
0.739,0.757,0.523,0.044,0.48
0.831,0.781,0.523,0.104,0.523
0.748,0.871,0.643,0.328,0.38
0.949,0.891,0.621,0.04,0.819
0.822,0.896,0.695,0.125,0.572
0.782,0.838,0.595,0.107,0.52
0.744,0.792,0.604,0.181,0.456
0.782,0.886,0.745,0.154,0.324
0.773,0.864,0.697,0.144,0.432
0.777,0.849,0.68,0.227,0.319
0.523,0.551,0.325,0.143,0.345
0.836,0.835,0.577,0.074,0.568
0.557,0.552,0.33,0.031,0.497
0.337,0.299,0.135,0.082,0.276
0.905,0.893,0.671,0.113,0.768
0.683,0.864,0.707,0.314,0.3
0.709,0.804,0.54,0.1,0.627
0.59,0.68,0.451,0.276,0.438
0.475,0.421,0.209,0.076,0.495
0.882,0.868,0.463,0.06,0.691
0.803,0.823,0.67,0.1,0.627
0.905,0.87,0.552,0.059,0.842
0.691,0.679,0.446,0.1,0.503
0.687,0.838,0.629,0.256,0.343
0.519,0.594,0.332,0.073,0.488
0.78,0.863,0.705,0.118,0.377
0.878,0.927,0.691,0.119,0.422
0.424,0.357,0.235,0.198,0.583
0.556,0.618,0.308,0.063,0.432
0.233,0.243,0.051,0.062,0.172
0.825,0.827,0.567,0.228,0.563
0.754,0.803,0.558,0.167,0.452
0.718,0.776,0.586,0.104,0.432
0.427,0.541,0.292,0.129,0.245
0.617,0.641,0.47,0.128,0.526
0.814,0.863,0.617,0.083,0.566
0.556,0.579,0.358,0.113,0.244
0.72,0.777,0.636,0.116,0.482
0.479,0.461,0.282,0.104,0.373
0.494,0.423,0.23,0.117,0.488
0.385,0.333,0.153,0.064,0.334
0.714,0.726,0.506,0.225,0.479
0.686,0.757,0.451,0.086,0.479
0.659,0.568,0.323,0.023,0.717
0.511,0.525,0.268,0.097,0.416
0.636,0.614,0.381,0.082,0.44
0.844,0.864,0.63,0.065,0.667
0.574,0.584,0.359,0.104,0.349
