TSSM_MIN,TSSM_MAX,PTPM,TV,BSHG,RENDIMIENTO
12.808,20.688,4.345,14.086,0.268,1.0
13.133,20.719,7.222,15.488,0.241,1.0
13.079,21.449,4.333,14.877,0.259,1.0
13.148,22.158,2.307,13.638,0.331,1.0
13.739,22.196,6.564,15.988,0.268,1.0
12.952,21.162,4.819,14.448,0.265,1.0
13.155,20.544,9.221,15.53,0.215,0.97
12.68,20.956,5.435,14.45,0.268,0.95
12.951,20.838,6.689,15.338,0.241,2.5
13.256,21.475,6.321,15.565,0.235,1.44
20.705,25.377,8.218,21.847,0.311,1.28
21.045,27.299,4.198,19.554,0.361,1.34
25.292,34.003,5.981,30.001,0.51,1.53
25.407,33.225,3.058,30.921,0.425,1.2
25.517,31.15,5.169,31.238,0.329,1.54
24.76,32.954,1.441,28.452,0.515,1.2
25.686,30.926,4.43,31.127,0.423,1.54
24.804,32.778,2.001,30.037,0.527,1.2
25.72,32.094,3.41,31.642,0.414,1.2
25.605,33.388,1.326,30.879,0.462,1.2
25.782,30.017,8.569,31.975,0.286,1.15
24.834,31.32,3.823,29.716,0.472,1.2
25.593,31.01,6.035,31.518,0.353,1.2
24.071,31.91,0.716,29.174,0.597,1.16
23.777,33.437,0.614,27.943,0.611,1.26
25.496,32.149,5.383,31.072,0.42,1.26
24.654,33.526,0.487,28.747,0.502,1.0
26.295,33.543,5.168,33.851,0.426,1.1
26.059,32.682,4.635,32.358,0.29,1.13
24.162,33.005,1.386,28.032,0.502,1.15
25.275,31.415,8.197,30.983,0.336,1.11
25.62,33.595,1.747,29.675,0.375,1.15
26.008,32.673,4.156,31.784,0.412,1.15
9.845,14.902,3.0,11.873,0.184,1.41
9.855,14.38,3.957,11.836,0.137,1.4
10.055,14.692,3.879,12.014,0.164,1.44
10.531,15.113,4.393,12.443,0.19,1.42
10.053,14.674,5.965,12.031,0.156,1.44
9.841,14.045,4.786,11.96,0.121,1.45
9.329,13.919,3.347,11.303,0.166,1.1
10.139,14.508,4.448,12.233,0.138,1.05
10.082,15.031,4.277,12.193,0.153,1.15
9.882,13.934,4.307,11.727,0.157,1.5
10.156,14.462,3.577,12.066,0.145,0.95
10.118,13.751,3.319,11.886,0.164,1.0
10.849,15.58,4.067,13.021,0.163,0.8
10.108,14.857,5.431,12.24,0.18,0.8
20.8,28.2,0.0,22.883,0.356,1.5
20.049,28.082,3.629,22.237,0.393,1.5
20.053,28.167,5.835,22.569,0.352,1.5
19.476,26.853,5.633,21.998,0.299,1.5
19.397,27.033,7.591,21.811,0.312,1.5
19.857,27.643,4.455,21.115,0.328,1.5
20.715,29.314,2.652,20.632,0.382,1.25
23.0,27.4,0.0,28.843,0.179,1.1
23.575,30.021,6.63,30.071,0.274,1.5
11.848,19.105,10.525,15.511,0.387,2.44
11.986,19.105,9.188,15.323,0.327,2.42
11.418,18.846,12.761,15.044,0.359,2.43
11.4,18.143,11.968,14.873,0.26,2.41
11.701,18.596,10.906,14.888,0.322,2.36
12.165,18.613,9.507,15.089,0.303,2.4
12.103,19.284,7.234,14.772,0.412,2.4
12.558,19.67,11.785,15.147,0.389,2.4
11.818,18.241,14.156,14.422,0.277,2.4
11.591,18.695,12.892,14.376,0.297,0.59
11.489,19.275,8.695,13.991,0.407,0.63
12.209,19.009,17.655,14.685,0.319,1.05
11.598,19.043,9.89,13.95,0.389,2.03
12.147,19.134,6.06,14.515,0.304,1.5
11.651,19.338,7.366,13.987,0.387,1.3
12.05,19.246,7.164,14.251,0.353,1.5
11.706,18.833,9.612,14.31,0.24,1.59
11.938,19.444,10.012,14.43,0.383,1.59
11.854,18.866,9.9,14.225,0.267,1.59
11.997,19.406,8.221,14.032,0.377,1.59
12.775,19.275,9.705,14.713,0.305,2.5
12.042,19.907,9.119,13.758,0.521,2.5
15.53,21.573,7.007,16.184,0.429,1.3
14.8,20.603,5.311,15.814,0.367,1.4
15.256,20.879,5.643,16.031,0.382,2.42
16.307,22.589,4.938,15.747,0.433,1.48
14.781,20.32,7.02,15.9,0.295,1.49
24.659,32.441,5.405,31.494,0.48,1.3
22.688,33.224,0.108,28.841,0.588,1.1
23.345,31.655,5.419,29.895,0.469,1.3
23.063,32.451,1.413,28.996,0.52,1.04
24.208,32.26,6.518,30.198,0.436,1.3
24.246,33.723,0.65,29.168,0.521,1.0
25.015,33.555,2.128,30.56,0.454,1.2
25.083,32.143,10.525,30.721,0.255,1.4
24.895,33.738,0.949,29.783,0.46,1.27
25.826,32.795,5.789,30.954,0.387,1.25
24.97,33.625,1.423,29.84,0.467,1.1
25.74,32.736,2.977,30.904,0.438,1.2
25.192,33.02,1.416,30.281,0.412,1.3
24.833,32.405,5.449,30.264,0.377,1.3
24.597,33.598,0.613,30.456,0.446,1.2
24.867,32.702,4.318,30.877,0.399,1.2
23.963,33.643,0.474,30.323,0.414,1.18
25.376,34.043,2.237,31.451,0.433,1.18
24.408,32.723,4.912,31.536,0.394,0.8
22.943,33.309,0.424,27.952,0.451,1.1
25.908,34.492,0.0,33.699,0.412,0.65
22.018,27.842,8.448,26.664,0.262,1.71
22.691,29.422,10.191,27.657,0.253,0.96
22.25,28.259,9.334,26.549,0.265,0.99
22.815,28.438,9.673,27.399,0.289,0.9
22.036,26.605,9.488,26.0,0.177,0.89
22.956,28.651,10.762,27.86,0.242,0.84
23.01,28.993,7.389,27.474,0.34,0.93
23.397,29.513,14.761,28.378,0.304,1.0
22.705,28.989,8.435,27.173,0.273,1.0
22.696,29.183,10.67,27.363,0.277,1.0
22.555,28.718,9.552,27.335,0.33,1.0
22.629,28.735,12.195,27.437,0.298,1.0
22.357,29.094,7.171,26.958,0.334,1.0
22.943,29.137,11.105,27.731,0.263,1.0
22.801,28.606,11.75,27.378,0.285,1.0
23.402,28.943,12.135,28.584,0.239,1.5
23.073,28.971,9.408,28.143,0.227,1.5
23.947,28.813,11.557,28.719,0.246,1.0
23.192,29.417,10.093,27.781,0.314,1.0
23.351,29.649,11.485,28.613,0.305,1.0
23.0,29.278,9.216,28.175,0.336,1.0
22.908,27.789,15.922,27.917,0.219,1.5
23.516,29.437,8.159,28.193,0.25,1.5
9.651,15.784,1.592,11.577,0.406,0.7
9.846,16.362,1.719,12.04,0.38,0.5
10.454,16.691,4.799,12.303,0.323,0.6
9.313,15.371,5.367,11.821,0.237,0.6
21.072,25.81,10.281,23.493,0.234,0.75
21.629,27.368,8.235,23.5,0.264,0.75
21.122,26.49,11.773,22.789,0.283,0.76
21.311,26.056,8.101,23.681,0.204,0.7
20.966,26.032,10.533,22.959,0.231,0.78
21.265,25.757,11.455,23.983,0.193,0.76
21.284,26.198,11.382,23.733,0.264,0.8
22.084,27.058,8.066,25.025,0.249,0.76
21.026,26.802,8.194,23.135,0.24,0.8
21.395,26.85,8.183,24.057,0.239,0.76
21.002,25.874,11.391,22.675,0.238,0.8
21.049,25.76,12.146,23.328,0.184,0.76
21.491,27.072,7.823,22.813,0.257,0.8
21.733,26.672,10.911,24.199,0.178,1.3
21.157,26.671,11.527,23.095,0.223,1.3
21.655,26.795,10.401,24.265,0.161,0.84
21.235,26.567,12.128,23.419,0.207,0.84
21.549,26.236,10.971,24.196,0.132,0.7
21.525,26.609,8.897,23.343,0.197,0.7
22.758,27.977,9.508,24.851,0.231,0.6
21.917,26.916,10.229,23.316,0.242,0.6
22.082,26.903,11.675,24.107,0.225,1.0
21.817,27.329,9.064,23.68,0.232,1.0
21.615,26.484,9.256,23.688,0.183,1.0
21.627,25.968,9.591,24.768,0.147,1.0
17.438,26.141,3.116,20.582,0.355,1.5
16.536,26.658,0.46,20.58,0.394,1.5
17.557,26.16,4.652,20.708,0.292,1.45
16.724,25.93,1.357,19.939,0.245,1.47
17.807,26.107,5.124,20.255,0.369,1.47
16.52,25.208,2.334,18.648,0.381,1.5
17.2,26.79,3.577,19.329,0.403,1.59
18.144,26.937,3.176,20.453,0.317,1.3
17.785,25.387,5.751,20.344,0.289,1.3
16.673,25.203,3.193,18.932,0.322,1.3
17.442,25.828,3.744,19.054,0.214,1.5
17.482,26.205,4.424,19.764,0.346,2.0
17.123,26.904,0.925,20.249,0.282,1.5
17.519,26.595,2.838,19.513,0.356,1.2
17.009,26.625,2.007,19.456,0.342,1.0
18.204,25.73,1.874,19.853,0.269,2.0
17.578,27.59,2.126,19.803,0.371,2.0
17.434,26.648,2.481,19.653,0.384,2.0
16.456,25.913,3.168,19.126,0.364,2.0
16.254,26.105,3.097,18.981,0.302,2.0
16.762,26.555,3.851,18.882,0.387,2.0
16.765,26.914,3.424,19.699,0.395,2.02
17.299,26.839,2.916,19.316,0.398,2.07
23.916,28.665,12.862,29.935,0.202,1.5
23.937,28.958,16.028,30.142,0.217,1.52
23.467,27.9,13.316,29.234,0.16,1.54
23.225,28.704,17.432,29.193,0.221,1.55
23.545,28.273,17.235,29.061,0.194,1.56
23.626,28.722,16.229,29.41,0.237,1.4
24.143,28.972,12.955,30.218,0.236,1.3
24.639,29.633,14.291,31.359,0.232,1.2
23.522,27.93,18.54,29.3,0.184,1.18
23.591,28.993,9.702,29.478,0.266,1.2
23.682,28.432,13.481,29.437,0.2,1.18
24.427,28.619,11.529,30.284,0.156,1.2
24.268,28.308,8.521,29.296,0.17,1.18
24.592,28.821,13.564,30.119,0.191,1.18
24.885,29.16,13.826,30.615,0.238,1.18
24.908,29.618,11.149,30.928,0.227,1.18
25.21,29.747,15.848,30.977,0.244,1.18
25.28,29.405,10.028,31.461,0.187,1.4
24.553,28.447,13.317,30.235,0.147,1.4
23.96,28.46,16.923,29.395,0.135,1.19
24.133,29.32,4.94,28.414,0.149,1.19
24.145,28.707,30.014,30.308,0.251,1.4
24.344,28.902,10.564,30.284,0.188,1.4
24.504,29.695,11.078,30.744,0.224,1.41
24.296,28.68,11.324,30.297,0.163,1.45
10.921,15.967,1.568,13.018,0.373,1.33
9.957,15.481,0.616,12.888,0.371,1.37
10.12,15.198,1.511,12.265,0.428,1.61
9.744,15.229,3.943,11.82,0.209,1.44
9.477,15.815,3.317,11.865,0.279,1.75
10.122,15.795,1.821,11.201,0.355,1.39
21.185,31.304,5.633,23.176,0.382,1.56
21.786,29.82,4.975,25.062,0.455,1.29
21.439,28.31,16.026,24.415,0.312,2.0
21.414,28.371,10.026,24.45,0.314,2.0
21.436,29.329,4.973,24.133,0.338,2.0
21.936,29.184,5.772,25.582,0.355,0.7
21.589,31.978,2.401,23.973,0.478,1.33
22.105,30.743,3.015,25.716,0.44,2.0
21.242,30.093,4.518,24.144,0.357,1.4
21.521,28.906,5.964,24.652,0.348,1.4
21.343,29.152,5.576,25.054,0.393,3.0
20.261,24.612,17.143,24.17,0.287,1.7
20.011,23.792,10.376,23.263,0.237,1.67
19.911,24.128,16.836,22.743,0.309,1.2
19.458,23.547,11.505,22.266,0.245,1.2
19.943,24.255,14.681,22.675,0.291,1.4
19.562,23.625,11.213,22.69,0.208,1.2
20.405,24.607,13.703,23.774,0.32,1.2
20.565,24.213,8.801,24.19,0.213,1.2
19.797,23.768,20.58,22.883,0.252,1.2
19.548,24.065,10.056,22.954,0.264,1.2
20.06,24.08,15.616,23.33,0.238,1.2
19.607,24.141,11.498,22.784,0.239,1.2
20.126,24.692,13.998,23.663,0.284,1.2
20.081,24.226,8.912,23.65,0.202,1.2
20.151,24.633,15.801,23.954,0.268,1.2
20.053,24.939,10.697,23.791,0.246,1.3
20.432,25.302,16.132,25.383,0.348,1.3
20.506,25.081,12.246,24.666,0.239,1.3
21.165,25.96,11.169,24.707,0.326,1.2
21.052,25.478,7.673,24.27,0.246,1.4
20.781,25.216,10.987,24.349,0.205,1.3
20.788,25.582,16.443,24.812,0.286,1.3
19.913,24.253,13.614,22.889,0.177,1.2
20.295,25.163,11.266,24.09,0.199,1.2
23.71,29.693,8.213,29.38,0.286,1.1
23.458,30.006,7.302,28.996,0.339,0.8
23.17,28.892,11.809,28.686,0.366,1.71
23.511,28.835,7.518,28.715,0.303,1.7
23.398,29.648,8.741,28.463,0.375,1.63
23.932,29.296,14.386,29.095,0.283,2.0
23.987,29.856,9.694,28.896,0.407,1.9
24.447,30.545,10.331,30.168,0.359,1.5
23.701,29.861,8.123,28.886,0.376,1.31
23.948,29.627,7.719,29.198,0.296,1.56
23.866,29.655,8.32,28.96,0.381,1.6
23.781,29.339,9.529,28.993,0.33,1.0
23.867,29.847,13.533,28.893,0.3,1.0
23.547,30.073,10.676,28.529,0.283,1.04
23.684,29.49,7.175,29.612,0.33,2.0
23.839,29.876,9.682,29.838,0.238,1.0
23.925,30.458,10.192,30.017,0.336,1.0
23.218,29.239,11.474,29.138,0.294,1.0
23.907,30.211,10.863,30.341,0.244,1.0
22.614,29.336,9.057,28.324,0.299,1.0
6.86,13.593,0.05,10.802,0.221,1.8
7.191,11.997,2.733,10.781,0.244,1.8
7.65,11.475,2.902,10.907,0.149,1.8
7.668,13.269,3.135,10.536,0.325,1.8
6.863,11.537,6.149,10.124,0.231,1.8
7.07,12.204,3.317,10.744,0.193,2.0
6.883,12.094,1.657,10.46,0.209,2.0
7.037,13.405,3.849,10.288,0.261,2.0
6.794,12.529,4.461,10.45,0.234,1.5
6.791,12.229,4.071,10.572,0.182,1.5
6.886,12.771,3.441,10.483,0.186,1.52
25.484,32.729,1.932,29.814,0.415,0.8
25.557,33.8,3.216,29.757,0.423,0.7
25.527,31.887,4.047,30.424,0.385,0.46
25.366,33.557,1.437,28.597,0.443,0.87
25.484,31.959,5.724,30.235,0.391,0.39
26.246,33.598,3.239,30.805,0.429,1.2
26.966,33.382,1.801,32.487,0.431,0.8
26.082,31.659,1.535,31.063,0.498,0.8
25.854,30.686,4.95,31.389,0.399,0.8
26.925,33.515,3.292,31.496,0.431,0.5
27.165,31.196,3.722,33.206,0.462,0.6
24.875,31.525,6.188,33.08,0.371,0.5
25.738,31.545,3.28,32.896,0.409,0.6
24.771,33.942,1.802,32.592,0.465,0.7
25.684,32.536,4.627,32.497,0.429,0.46
25.832,34.143,0.97,35.845,0.486,1.4
25.43,34.422,0.889,33.567,0.29,1.1
25.388,34.298,2.724,32.085,0.471,1.1
25.654,33.425,2.692,32.312,0.395,1.45
18.141,25.883,8.194,20.886,0.332,1.0
18.296,25.763,8.206,21.051,0.297,1.4
18.102,26.767,4.968,20.483,0.382,1.0
18.555,26.365,6.334,20.982,0.304,1.4
18.378,26.436,5.316,20.32,0.368,1.0
19.074,27.291,6.148,21.867,0.355,1.4
18.126,26.304,6.443,21.077,0.349,1.4
18.0,25.568,8.195,21.164,0.308,2.5
10.659,15.52,2.008,11.525,0.248,1.41
9.961,14.467,4.743,11.53,0.14,1.4
10.512,15.641,4.493,12.05,0.194,1.44
11.173,16.567,2.79,12.537,0.217,1.42
10.618,15.903,4.193,12.076,0.252,1.44
10.568,15.685,3.654,11.882,0.171,1.45
10.658,15.732,1.626,11.022,0.259,1.1
11.138,15.893,3.021,12.197,0.179,1.05
10.957,16.309,3.055,11.973,0.202,1.15
10.828,15.575,2.774,11.27,0.225,1.5
10.979,15.935,2.358,11.792,0.186,0.95
11.238,15.938,1.792,11.255,0.24,1.0
11.626,17.509,2.38,12.547,0.243,0.8
10.384,16.432,4.379,12.188,0.183,0.8
21.024,28.424,2.181,20.335,0.371,2.5
20.931,28.198,4.987,21.653,0.356,2.75
20.686,27.568,3.763,20.428,0.364,2.75
20.618,27.158,6.231,21.45,0.302,2.8
20.593,27.238,5.287,21.446,0.313,1.75
21.0,28.128,4.46,22.277,0.339,2.25
21.662,29.064,3.543,22.808,0.382,2.0
20.808,27.018,6.189,21.503,0.255,1.5
20.9,27.637,5.77,22.102,0.286,0.16
21.505,28.158,2.563,23.942,0.329,0.92
21.47,28.954,2.332,20.944,0.389,1.87
21.862,28.22,6.45,22.24,0.318,0.95
21.757,28.536,2.736,21.031,0.383,0.95
22.111,30.503,0.735,21.84,0.41,3.5
13.045,22.192,3.442,14.43,0.358,0.7
12.894,23.191,3.656,14.519,0.392,0.4
12.622,21.616,3.365,14.255,0.363,0.92
12.161,22.569,3.303,14.782,0.429,0.85
12.729,21.546,3.53,14.588,0.34,0.68
12.541,22.79,3.479,15.054,0.382,0.73
12.867,23.075,2.306,13.841,0.409,0.1
13.282,24.326,4.862,13.982,0.42,0.3
13.324,20.766,5.345,15.39,0.302,0.5
12.439,21.688,4.727,14.33,0.37,0.48
13.12,21.423,4.136,14.52,0.321,0.3
12.454,22.424,5.082,13.76,0.371,1.0
13.089,22.493,2.668,13.937,0.38,0.7
12.995,23.47,4.1,13.824,0.411,0.9
13.035,22.553,2.823,14.086,0.38,0.7
12.801,23.846,3.808,14.038,0.462,0.62
13.321,22.729,2.427,15.186,0.39,0.62
12.803,24.072,3.302,15.613,0.446,0.5
13.958,23.48,1.906,13.711,0.365,0.6
13.93,25.952,3.3,13.943,0.461,0.8
13.275,22.504,3.768,14.404,0.36,0.5
12.751,23.065,3.995,14.346,0.396,0.9
13.085,22.642,3.016,14.828,0.356,0.7
12.658,22.731,5.41,14.361,0.38,1.1
12.59,22.874,3.314,14.275,0.388,1.0
12.907,24.061,4.55,14.691,0.403,1.1
12.936,22.464,1.657,13.856,0.324,1.0
20.767,26.807,2.51,23.826,0.358,1.69
20.292,26.694,3.65,24.257,0.391,1.32
20.188,26.799,4.099,24.181,0.363,1.42
20.783,26.921,3.563,24.76,0.324,1.47
21.66,28.506,1.942,26.246,0.405,1.52
20.765,26.704,4.698,22.724,0.291,1.6
20.93,26.77,4.191,21.604,0.359,1.5
21.893,27.988,3.657,21.5,0.391,1.0
21.886,27.237,4.556,22.684,0.318,0.98
22.145,27.975,2.999,20.442,0.347,1.0
19.572,26.37,4.065,21.672,0.418,1.1
19.307,25.277,3.035,21.106,0.325,1.0
19.383,25.881,4.773,22.11,0.398,1.0
18.658,24.399,1.849,20.53,0.319,1.0
19.249,25.526,6.588,21.397,0.366,1.0
18.784,23.555,2.903,21.046,0.261,1.0
19.965,25.795,3.747,21.636,0.403,1.0
19.978,26.093,2.531,22.007,0.373,1.2
19.506,25.518,9.139,21.888,0.324,1.2
19.001,24.005,5.413,21.776,0.282,1.0
19.578,25.849,5.604,22.492,0.315,1.2
19.0,24.15,3.869,21.451,0.268,1.0
19.835,26.439,4.604,22.546,0.413,1.2
19.514,24.842,2.521,22.243,0.269,1.0
19.779,26.861,3.771,22.11,0.401,1.2
19.331,26.033,3.002,21.781,0.356,1.0
19.996,27.851,2.135,21.12,0.522,1.0
19.443,25.699,2.45,21.924,0.296,1.0
24.518,31.02,7.918,29.521,0.464,1.5
24.856,31.56,8.685,29.62,0.419,1.5
24.291,30.78,10.111,29.716,0.465,1.5
24.068,30.561,5.757,29.2,0.375,1.5
24.153,30.434,9.419,29.354,0.452,1.5
24.469,30.859,6.711,29.396,0.406,1.8
24.839,31.474,9.857,30.057,0.479,1.8
25.238,32.355,6.105,30.018,0.458,1.8
24.346,30.142,10.449,29.241,0.442,1.8
24.588,30.748,6.137,28.696,0.453,1.87
24.786,30.652,8.937,29.258,0.454,1.87
24.02,28.682,13.621,30.658,0.141,0.48
24.438,28.784,11.671,30.541,0.166,0.48
23.581,27.666,29.361,30.035,0.11,0.5
23.662,28.664,9.247,29.982,0.196,0.5
23.594,28.333,18.507,30.046,0.11,0.5
24.164,28.44,14.524,30.59,0.114,0.5
24.985,29.085,12.508,31.299,0.154,1.5
24.044,28.953,10.647,30.344,0.202,0.5
23.772,28.37,8.982,29.915,0.186,1.0
23.649,28.081,13.453,30.168,0.149,0.5
24.419,28.305,11.033,30.443,0.14,1.0
24.139,28.359,14.656,30.239,0.162,0.4
24.53,28.904,9.659,30.466,0.166,0.4
25.045,29.379,4.958,31.118,0.136,1.0
15.576,22.391,6.807,15.797,0.377,1.58
15.618,22.29,7.091,16.268,0.331,1.4
15.275,21.924,7.686,16.996,0.356,1.4
15.156,21.297,10.175,18.213,0.269,1.58
15.33,21.673,10.585,18.587,0.317,1.6
15.659,22.335,4.814,19.088,0.291,1.58
16.333,23.291,5.857,17.748,0.398,0.8
16.721,23.701,4.627,18.434,0.414,1.58
15.299,20.741,9.448,17.309,0.272,1.4
15.329,20.593,7.322,16.913,0.285,1.6
15.644,20.857,8.458,16.448,0.328,1.6
15.473,20.778,5.533,16.315,0.317,1.5
16.003,21.831,4.996,15.959,0.391,1.58
16.065,21.8,5.129,16.596,0.276,1.58
15.99,21.695,6.686,16.469,0.361,1.58
16.103,21.756,4.421,16.761,0.307,1.5
16.413,22.833,5.051,15.851,0.422,2.0
16.3,22.988,5.375,14.258,0.509,1.58
16.937,23.441,4.907,15.906,0.423,1.75
17.113,23.879,3.711,15.86,0.414,1.75
16.117,22.292,7.127,16.467,0.378,1.75
15.931,22.267,5.498,15.986,0.323,1.75
16.245,22.736,7.276,16.675,0.368,1.75
15.739,22.57,8.439,16.015,0.28,1.75
16.209,22.796,4.4,16.298,0.463,1.75
15.99,24.277,8.644,15.635,0.244,1.75
16.933,22.433,0.967,15.952,0.329,1.75
24.68,29.799,11.065,28.574,0.395,1.73
25.026,31.143,7.61,27.48,0.414,1.74
24.476,29.868,12.028,28.09,0.372,1.75
24.665,30.524,7.927,28.009,0.387,1.67
24.399,29.948,11.906,28.29,0.383,1.75
24.826,30.662,6.212,28.606,0.337,1.8
24.814,30.927,10.107,28.082,0.431,1.8
25.25,31.371,9.373,28.916,0.338,1.8
24.626,30.698,7.394,28.0,0.407,1.8
24.558,30.985,6.785,27.557,0.437,1.6
24.627,30.488,6.988,28.06,0.403,1.6
24.515,30.238,7.08,28.059,0.348,1.7
24.509,30.299,10.429,28.86,0.393,1.6
24.811,30.956,8.171,28.435,0.379,1.5
24.23,30.043,9.124,28.225,0.363,1.5
24.71,31.753,4.375,27.517,0.46,1.69
24.479,30.243,10.864,28.812,0.388,1.5
24.483,31.483,3.582,29.274,0.421,1.0
24.459,30.38,12.055,29.981,0.387,1.0
24.819,31.311,9.714,30.247,0.338,2.0
24.364,30.028,14.09,30.214,0.357,2.0
24.49,31.309,5.533,29.862,0.361,1.0
23.998,30.248,15.025,30.318,0.283,1.0
24.332,31.333,8.112,30.119,0.3,2.5
24.381,30.907,10.558,30.242,0.34,2.5
24.741,32.563,7.919,30.507,0.348,2.54
24.189,31.701,12.896,30.422,0.381,2.54
24.887,30.618,6.3,31.238,0.287,2.05
24.883,30.775,5.633,30.481,0.299,2.05
24.734,30.128,5.89,30.325,0.333,2.22
24.403,30.108,5.204,29.395,0.35,1.95
24.622,30.002,7.631,30.579,0.331,1.45
24.974,29.649,5.589,30.25,0.367,1.95
25.043,29.731,8.342,31.672,0.318,1.95
25.51,30.283,5.852,31.579,0.277,1.73
24.43,29.256,9.018,30.304,0.301,1.8
24.315,30.212,4.666,29.624,0.363,0.95
24.456,29.538,7.325,30.275,0.291,1.1
24.662,29.694,4.222,29.741,0.31,1.95
24.564,29.921,7.678,30.837,0.287,1.95
25.259,30.206,4.693,30.201,0.266,2.4
24.597,29.915,5.013,30.582,0.301,2.4
25.3,30.129,3.726,29.958,0.305,2.4
24.714,29.84,6.082,31.925,0.248,2.5
25.259,30.385,1.856,30.068,0.24,2.3
25.515,30.567,4.984,32.255,0.227,2.4
25.777,30.629,4.742,31.515,0.213,2.8
24.442,30.4,5.569,31.382,0.272,2.5
24.318,30.827,4.862,31.563,0.383,2.8
25.07,30.203,5.897,31.773,0.312,2.8
24.259,30.667,2.917,30.109,0.445,1.8
25.4,28.3,53.15,31.886,0.304,1.8
24.786,30.692,8.05,30.831,0.353,2.0
24.801,30.347,6.344,29.767,0.37,2.0
24.493,28.885,7.623,30.127,0.356,2.5
24.284,31.105,1.641,29.499,0.326,2.5
24.493,30.31,12.059,30.221,0.32,2.0
24.455,31.894,2.237,28.853,0.315,2.5
25.259,31.567,7.801,30.757,0.331,1.5
25.425,32.72,3.853,31.214,0.306,1.0
24.574,31.053,5.115,29.083,0.327,1.5
24.74,31.759,3.377,28.394,0.343,1.8
26.25,32.608,4.242,29.65,0.21,2.0
25.468,32.793,2.463,29.652,0.33,1.8
24.028,32.055,0.266,29.681,0.383,1.8
26.733,34.175,0.067,31.009,0.231,1.8
24.899,32.021,5.939,31.638,0.316,1.8
24.859,33.117,1.356,33.57,0.27,1.8
24.934,31.202,3.708,32.796,0.282,1.8
26.266,33.53,2.28,31.08,0.441,1.0
25.751,34.119,0.225,28.67,0.49,1.5
25.548,31.883,2.614,30.957,0.413,0.96
24.691,33.269,0.646,28.406,0.499,1.5
25.019,31.503,0.074,29.677,0.502,1.9
25.379,33.753,0.017,28.069,0.543,0.5
26.139,34.018,1.197,32.386,0.442,0.6
25.814,34.295,0.98,31.177,0.442,1.5
25.42,30.846,4.035,32.068,0.295,0.98
25.362,32.421,1.575,30.126,0.44,1.0
25.721,31.845,2.345,31.037,0.347,1.5
26.749,34.687,1.778,31.701,0.422,0.8
26.848,33.494,1.805,31.183,0.45,1.5
27.052,32.687,2.721,30.075,0.403,1.7
27.388,34.925,0.295,29.802,0.432,0.5
24.343,31.55,4.346,28.333,0.423,1.9
24.071,30.982,3.699,27.17,0.414,1.43
23.857,30.898,6.881,28.166,0.418,1.21
23.982,30.795,5.315,26.897,0.38,1.34
23.946,30.698,5.48,28.047,0.364,1.5
24.749,32.828,3.917,26.98,0.451,1.5
23.81,31.304,4.766,27.801,0.364,0.5
24.912,32.523,2.927,26.416,0.381,1.5
24.232,31.425,4.775,27.844,0.376,1.5
24.989,32.466,2.01,25.364,0.441,1.5
24.518,31.867,4.68,27.911,0.414,1.5
25.66,33.844,2.368,25.526,0.407,1.5
25.686,33.283,3.871,28.941,0.397,2.0
24.548,31.438,2.733,25.651,0.385,2.0
24.177,31.095,6.268,27.339,0.399,2.0
24.613,32.624,2.836,26.07,0.433,2.0
23.666,31.075,6.757,27.494,0.318,2.0
24.686,31.857,4.484,27.492,0.458,2.0
24.411,31.521,4.756,27.673,0.388,2.0
25.58,34.06,1.304,22.673,0.435,2.0
22.815,28.208,10.011,27.391,0.239,0.91
23.008,27.882,19.304,27.961,0.173,0.81
22.539,28.738,9.054,27.271,0.263,1.0
22.908,29.207,12.419,27.961,0.203,1.0
22.567,27.5,14.375,27.024,0.166,1.0
23.293,29.686,10.343,27.86,0.324,0.94
23.258,28.927,9.25,27.935,0.277,0.93
23.573,29.701,11.361,29.353,0.288,1.0
22.994,29.106,7.492,27.872,0.291,1.0
23.142,30.034,6.502,27.819,0.31,0.9
23.243,28.976,5.943,27.804,0.309,1.0
22.991,28.841,14.211,28.013,0.242,1.0
23.006,29.704,6.752,27.729,0.306,1.0
23.021,29.325,8.917,27.927,0.262,1.0
22.768,28.706,11.322,27.406,0.276,1.0
23.225,29.119,12.266,28.268,0.229,0.97
22.793,29.009,9.599,27.768,0.281,0.97
22.982,28.69,11.539,27.898,0.196,1.0
23.139,28.939,10.012,27.658,0.246,1.0
23.128,29.163,10.831,27.634,0.264,1.0
23.204,29.512,9.815,28.429,0.242,1.0
23.152,29.17,5.917,27.572,0.323,1.0
23.007,28.785,9.612,27.548,0.185,1.0
22.928,28.476,7.324,27.246,0.264,1.0
10.733,20.545,4.034,13.558,0.386,1.7
10.363,18.175,5.62,13.102,0.304,1.7
10.842,18.989,4.357,14.316,0.265,2.34
10.087,19.881,4.121,13.539,0.333,0.9
10.046,19.774,4.063,13.339,0.324,1.27
9.858,20.204,2.429,12.822,0.356,0.7
10.688,21.305,3.534,13.028,0.345,0.6
8.627,17.747,1.973,11.805,0.442,0.6
10.036,18.901,4.885,13.817,0.258,1.8
9.932,20.038,3.012,13.815,0.281,1.86
13.467,20.7,4.063,14.644,0.329,0.6
13.75,21.028,3.474,14.325,0.268,0.68
13.295,19.787,2.958,14.773,0.269,0.7
13.154,19.575,4.786,16.007,0.279,0.68
13.172,19.9,3.201,14.678,0.287,0.7
